DATE,CSUSHPISA
1987-01-01,63.965
1987-02-01,64.423
1987-03-01,64.735
1987-04-01,65.131
1987-05-01,65.563
1987-06-01,66.071
1987-07-01,66.507
1987-08-01,66.938
1987-09-01,67.331
1987-10-01,67.73899999999999
1987-11-01,68.108
1987-12-01,68.506
1988-01-01,68.857
1988-02-01,69.26100000000001
1988-03-01,69.637
1988-04-01,69.976
1988-05-01,70.426
1988-06-01,70.889
1988-07-01,71.355
1988-08-01,71.8
1988-09-01,72.241
1988-10-01,72.63600000000001
1988-11-01,73.072
1988-12-01,73.465
1989-01-01,73.947
1989-02-01,74.383
1989-03-01,74.779
1989-04-01,75.085
1989-05-01,75.306
1989-06-01,75.48
1989-07-01,75.656
1989-08-01,75.834
1989-09-01,76.056
1989-10-01,76.283
1989-11-01,76.521
1989-12-01,76.705
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.20100000000001
1990-04-01,77.278
1990-05-01,77.297
1990-06-01,77.258
1990-07-01,77.139
1990-08-01,77.009
1990-09-01,76.84899999999999
1990-10-01,76.699
1990-11-01,76.37
1990-12-01,76.184
1991-01-01,75.915
1991-02-01,75.734
1991-03-01,75.569
1991-04-01,75.565
1991-05-01,75.764
1991-06-01,75.992
1991-07-01,76.082
1991-08-01,76.109
1991-09-01,76.193
1991-10-01,76.074
1991-11-01,76.014
1991-12-01,76.056
1992-01-01,76.087
1992-02-01,76.156
1992-03-01,76.27600000000001
1992-04-01,76.345
1992-05-01,76.398
1992-06-01,76.332
1992-07-01,76.263
1992-08-01,76.23
1992-09-01,76.238
1992-10-01,76.375
1992-11-01,76.558
1992-12-01,76.67399999999999
1993-01-01,76.78399999999999
1993-02-01,76.837
1993-03-01,76.868
1993-04-01,76.936
1993-05-01,77.038
1993-06-01,77.243
1993-07-01,77.43
1993-08-01,77.612
1993-09-01,77.794
1993-10-01,77.941
1993-11-01,78.14699999999999
1993-12-01,78.325
1994-01-01,78.59100000000001
1994-02-01,78.727
1994-03-01,78.85600000000001
1994-04-01,78.986
1994-05-01,79.222
1994-06-01,79.422
1994-07-01,79.594
1994-08-01,79.781
1994-09-01,79.919
1994-10-01,80.065
1994-11-01,80.15
1994-12-01,80.296
1995-01-01,80.426
1995-02-01,80.528
1995-03-01,80.597
1995-04-01,80.661
1995-05-01,80.703
1995-06-01,80.785
1995-07-01,80.936
1995-08-01,81.11
1995-09-01,81.306
1995-10-01,81.482
1995-11-01,81.619
1995-12-01,81.736
1996-01-01,81.834
1996-02-01,81.95299999999999
1996-03-01,82.194
1996-04-01,82.42
1996-05-01,82.61
1996-06-01,82.75200000000001
1996-07-01,82.928
1996-08-01,83.086
1996-09-01,83.256
1996-10-01,83.37700000000001
1996-11-01,83.552
1996-12-01,83.721
1997-01-01,83.955
1997-02-01,84.18
1997-03-01,84.45100000000001
1997-04-01,84.62200000000001
1997-05-01,84.861
1997-06-01,85.081
1997-07-01,85.331
1997-08-01,85.573
1997-09-01,85.85
1997-10-01,86.147
1997-11-01,86.632
1997-12-01,87.09200000000001
1998-01-01,87.615
1998-02-01,88.00200000000001
1998-03-01,88.44200000000001
1998-04-01,88.87799999999999
1998-05-01,89.36399999999999
1998-06-01,89.845
1998-07-01,90.31
1998-08-01,90.785
1998-09-01,91.258
1998-10-01,91.71700000000001
1998-11-01,92.199
1998-12-01,92.712
1999-01-01,93.208
1999-02-01,93.67200000000001
1999-03-01,94.21700000000001
1999-04-01,94.785
